id,node_id,hub_id,span,span2hub,direction,type
1,万NX001,万NX012,10,10,内圈,匝道
1,万NX001,万NX012,10,10,内圈,匝道
2,万NX002,万NX012,10,20,内圈,匝道
3,万NX003,万NX012,10,30,内圈,匝道
4,万NX004,万NX012,10,40,内圈,匝道
5,万NX005,万NX012,10,50,内圈,匝道
6,万NX006,万NX012,10,60,内圈,匝道
7,万NX007,万NX012,10,70,内圈,匝道
8,万NX008,万NX012,10,80,内圈,匝道
9,万NX009,万NX012,10,90,内圈,匝道
10,万NX010,万NX012,10,100,内圈,匝道
11,万NX011,万NX012,10,110,内圈,匝道
12,万NX012,万NX012,10,120,内圈,匝道
13,ZN0883,万NX001,0,120,内圈,主线-匝道
14,上NS001,上NS001,10,10,内圈,匝道
15,上NS002,上NS001,10,20,内圈,匝道
16,上NS003,上NS001,10,30,内圈,匝道
17,上NS004,上NS001,10,40,内圈,匝道
18,上NS005,上NS001,10,50,内圈,匝道
19,上NS006,上NS001,10,60,内圈,匝道
20,上NS007,上NS001,10,70,内圈,匝道
21,上NS008,上NS001,10,80,内圈,匝道
22,上NS001,ZN0085,0,80,内圈,匝道-主线
23,上WX001,上WX010,10,10,外圈,匝道
24,上WX002,上WX010,10,20,外圈,匝道
25,上WX003,上WX010,10,30,外圈,匝道
26,上WX004,上WX010,10,40,外圈,匝道
27,上WX005,上WX010,10,50,外圈,匝道
28,上WX006,上WX010,10,60,外圈,匝道
29,上WX007,上WX010,10,70,外圈,匝道
30,上WX008,上WX010,10,80,外圈,匝道
31,上WX009,上WX010,10,90,外圈,匝道
32,上WX010,上WX010,10,100,外圈,匝道
33,ZW0087,上WX001,0,100,外圈,主线-匝道
34,ZN0001,ZN1308,30,30,内圈,主线
35,ZN0002,ZN1308,30,60,内圈,主线
36,ZN0003,ZN1308,30,90,内圈,主线
37,ZN0004,ZN1308,30,120,内圈,主线
38,ZN0005,ZN1308,30,150,内圈,主线
39,ZN0006,ZN1308,30,180,内圈,主线
40,ZN0007,ZN1308,30,210,内圈,主线
41,ZN0008,ZN1308,30,240,内圈,主线
42,ZN0009,ZN1308,30,270,内圈,主线
43,ZN0010,ZN1308,30,300,内圈,主线
44,ZN0011,ZN1308,30,330,内圈,主线
45,ZN0012,ZN1308,30,360,内圈,主线
46,ZN0013,ZN1308,30,390,内圈,主线
47,ZN0014,ZN1308,30,420,内圈,主线
48,ZN0015,ZN1308,30,450,内圈,主线
49,ZN0016,ZN1308,30,480,内圈,主线
50,ZN0017,ZN1308,30,510,内圈,主线
51,ZN0018,ZN1308,30,540,内圈,主线
52,ZN0019,ZN1308,30,570,内圈,主线
53,ZN0020,ZN1308,30,600,内圈,主线
54,ZN0021,ZN1308,30,630,内圈,主线
55,ZN0022,ZN1308,30,660,内圈,主线
56,ZN0023,ZN1308,30,690,内圈,主线
57,ZN0024,ZN1308,30,720,内圈,主线
58,ZN0025,ZN1308,30,750,内圈,主线
59,ZN0026,ZN1308,30,780,内圈,主线
60,ZN0027,ZN1308,30,810,内圈,主线
61,ZN0028,ZN1308,30,840,内圈,主线
62,ZN0029,ZN1308,30,870,内圈,主线
63,ZN0030,ZN1308,30,900,内圈,主线
64,ZN0031,ZN1308,30,930,内圈,主线
65,ZN0032,ZN1308,30,960,内圈,主线
66,ZN0033,ZN1308,30,990,内圈,主线
67,ZN0034,ZN1308,30,1020,内圈,主线
68,ZN0035,ZN1308,30,1050,内圈,主线
69,ZN0036,ZN1308,30,1080,内圈,主线
70,ZN0037,ZN1308,30,1110,内圈,主线
71,ZN0038,ZN1308,30,1140,内圈,主线
72,ZN0039,ZN1308,30,1170,内圈,主线
73,ZN0040,ZN1308,30,1200,内圈,主线
74,ZN0041,ZN1308,30,1230,内圈,主线
75,ZN0042,ZN1308,30,1260,内圈,主线
76,ZN0043,ZN1308,30,1290,内圈,主线
77,ZN0044,ZN1308,30,1320,内圈,主线
78,ZN0045,ZN1308,30,1350,内圈,主线
79,ZN0046,ZN1308,30,1380,内圈,主线
80,ZN0047,ZN1308,30,1410,内圈,主线
81,ZN0048,ZN1308,30,1440,内圈,主线
82,ZN0049,ZN1308,30,1470,内圈,主线
83,ZN0050,ZN1308,30,1500,内圈,主线
84,ZN0051,ZN1308,30,1530,内圈,主线
85,ZN0052,ZN1308,30,1560,内圈,主线
86,ZN0053,ZN1308,30,1590,内圈,主线
87,ZN0054,ZN1308,30,1620,内圈,主线
88,ZN0055,ZN1308,30,1650,内圈,主线
89,ZN0056,ZN1308,30,1680,内圈,主线
90,ZN0057,ZN1308,30,1710,内圈,主线
91,ZN0058,ZN1308,30,1740,内圈,主线
92,ZN0059,ZN1308,30,1770,内圈,主线
93,ZN0060,ZN1308,30,1800,内圈,主线
94,ZN0061,ZN1308,30,1830,内圈,主线
95,ZN0062,ZN1308,30,1860,内圈,主线
96,ZN0063,ZN1308,30,1890,内圈,主线
97,ZN0064,ZN1308,30,1920,内圈,主线
98,ZN0065,ZN1308,30,1950,内圈,主线
99,ZN0066,ZN1308,30,1980,内圈,主线
100,ZN0067,ZN1308,30,2010,内圈,主线
101,ZN0068,ZN1308,30,2040,内圈,主线
102,ZN0069,ZN1308,30,2070,内圈,主线
103,ZN0070,ZN1308,30,2100,内圈,主线
104,ZN0071,ZN1308,30,2130,内圈,主线
105,ZN0072,ZN1308,30,2160,内圈,主线
106,ZN0073,ZN1308,30,2190,内圈,主线
107,ZN0074,ZN1308,30,2220,内圈,主线
108,ZN0075,ZN1308,30,2250,内圈,主线
109,ZN0076,ZN1308,30,2280,内圈,主线
110,ZN0077,ZN1308,30,2310,内圈,主线
111,ZN0078,ZN1308,30,2340,内圈,主线
112,ZN0079,ZN1308,30,2370,内圈,主线
113,ZN0080,ZN1308,30,2400,内圈,主线
114,ZN0081,ZN1308,30,2430,内圈,主线
115,ZN0082,ZN1308,30,2460,内圈,主线
116,ZN0083,ZN1308,30,2490,内圈,主线
117,ZN0084,ZN1308,30,2520,内圈,主线
118,ZN0085,ZN1308,30,2550,内圈,主线
119,ZN0086,ZN1308,30,2580,内圈,主线
120,ZN0087,ZN1308,30,2610,内圈,主线
121,ZN0088,ZN1308,30,2640,内圈,主线
122,ZN0089,ZN1308,30,2670,内圈,主线
123,ZN0090,ZN1308,30,2700,内圈,主线
124,ZN0091,ZN1308,30,2730,内圈,主线
125,ZN0092,ZN1308,30,2760,内圈,主线
126,ZN0093,ZN1308,30,2790,内圈,主线
127,ZN0094,ZN1308,30,2820,内圈,主线
128,ZN0095,ZN1308,30,2850,内圈,主线
129,ZN0096,ZN1308,30,2880,内圈,主线
130,ZN0097,ZN1308,30,2910,内圈,主线
131,ZN0098,ZN1308,30,2940,内圈,主线
132,ZN0099,ZN1308,30,2970,内圈,主线
133,ZN0100,ZN1308,30,3000,内圈,主线
134,ZN0101,ZN1308,30,3030,内圈,主线
135,ZN0102,ZN1308,30,3060,内圈,主线
136,ZN0103,ZN1308,30,3090,内圈,主线
137,ZN0104,ZN1308,30,3120,内圈,主线
138,ZN0105,ZN1308,30,3150,内圈,主线
139,ZN0106,ZN1308,30,3180,内圈,主线
140,ZN0107,ZN1308,30,3210,内圈,主线
141,ZN0108,ZN1308,30,3240,内圈,主线
142,ZN0109,ZN1308,30,3270,内圈,主线
143,ZN0110,ZN1308,30,3300,内圈,主线
144,ZN0111,ZN1308,30,3330,内圈,主线
145,ZN0112,ZN1308,30,3360,内圈,主线
146,ZN0113,ZN1308,30,3390,内圈,主线
147,ZN0114,ZN1308,30,3420,内圈,主线
148,ZN0115,ZN1308,30,3450,内圈,主线
149,ZN0116,ZN1308,30,3480,内圈,主线
150,ZN0117,ZN1308,30,3510,内圈,主线
151,ZN0118,ZN1308,30,3540,内圈,主线
152,ZN0119,ZN1308,30,3570,内圈,主线
153,ZN0120,ZN1308,30,3600,内圈,主线
154,ZN0121,ZN1308,30,3630,内圈,主线
155,ZN0122,ZN1308,30,3660,内圈,主线
156,ZN0123,ZN1308,30,3690,内圈,主线
157,ZN0124,ZN1308,30,3720,内圈,主线
158,ZN0125,ZN1308,30,3750,内圈,主线
159,ZN0126,ZN1308,30,3780,内圈,主线
160,ZN0127,ZN1308,30,3810,内圈,主线
161,ZN0128,ZN1308,30,3840,内圈,主线
162,ZN0129,ZN1308,30,3870,内圈,主线
163,ZN0130,ZN1308,30,3900,内圈,主线
164,ZN0131,ZN1308,30,3930,内圈,主线
165,ZN0132,ZN1308,30,3960,内圈,主线
166,ZN0133,ZN1308,30,3990,内圈,主线
167,ZN0134,ZN1308,30,4020,内圈,主线
168,ZN0135,ZN1308,30,4050,内圈,主线
169,ZN0136,ZN1308,30,4080,内圈,主线
170,ZN0137,ZN1308,30,4110,内圈,主线
171,ZN0138,ZN1308,30,4140,内圈,主线
172,ZN0139,ZN1308,30,4170,内圈,主线
173,ZN0140,ZN1308,30,4200,内圈,主线
174,ZN0141,ZN1308,30,4230,内圈,主线
175,ZN0142,ZN1308,30,4260,内圈,主线
176,ZN0143,ZN1308,30,4290,内圈,主线
177,ZN0144,ZN1308,30,4320,内圈,主线
178,ZN0145,ZN1308,30,4350,内圈,主线
179,ZN0146,ZN1308,30,4380,内圈,主线
180,ZN0147,ZN1308,30,4410,内圈,主线
181,ZN0148,ZN1308,30,4440,内圈,主线
182,ZN0149,ZN1308,30,4470,内圈,主线
183,ZN0150,ZN1308,30,4500,内圈,主线
184,ZN0151,ZN1308,30,4530,内圈,主线
185,ZN0152,ZN1308,30,4560,内圈,主线
186,ZN0153,ZN1308,30,4590,内圈,主线
187,ZN0154,ZN1308,30,4620,内圈,主线
188,ZN0155,ZN1308,30,4650,内圈,主线
189,ZN0156,ZN1308,30,4680,内圈,主线
190,ZN0157,ZN1308,30,4710,内圈,主线
191,ZN0158,ZN1308,30,4740,内圈,主线
192,ZN0159,ZN1308,30,4770,内圈,主线
193,ZN0160,ZN1308,30,4800,内圈,主线
