id,starthub_id,endhub_id,span,velocity,direction,type
1,万NX001,万NX012,120,30,匝道,匝道
1,万NX001,万NX012,120,30,匝道,匝道
2,ZN0883,万NX001,0,30,匝道,主线-匝道
3,上NS008,上NS001,80,30,匝道,匝道
4,上NS001,ZN0085,0,30,匝道,匝道-主线
5,上WX001,上WX010,100,30,匝道,匝道
6,ZW0087,上WX001,0,30,匝道,主线-匝道
7,ZN0001,ZN1308,39240,30,主线,主线
9,ZW1308,ZW0001,39210,30,主线,主线
11,仙霞路出口00,仙霞路出口02,30,30,匝道,匝道
12,ZW0456,仙霞路出口00,0,30,匝道,主线-匝道
13,仙霞路进口02,仙霞路进口00,30,30,匝道,匝道
14,仙霞路进口00,ZW0429,0,30,匝道,匝道-主线
15,共BD036,共BD001,360,30,匝道,匝道
16,共BD001,共ND008,0,30,匝道,匝道-主线
17,共BX042,共BX001,420,30,匝道,匝道
18,共BX001,ZW0919,0,30,匝道,匝道-主线
19,共DB001,共DB040,400,30,匝道,匝道
20,ZW0930,共DB001,0,30,匝道,主线-匝道
21,共DN001,共DN015,150,30,匝道,匝道
22,ZW0919,共DN001,0,30,匝道,主线-匝道
23,共ND038,共ND001,380,30,匝道,匝道
24,共ND001,ZN0930,0,30,匝道,匝道-主线
25,共NX001,共NX024,240,30,匝道,匝道
26,共ND012,共NX001,0,30,匝道,主线-匝道
27,共XB026,共XB001,260,30,匝道,匝道
28,共XB001,共XN006,0,30,匝道,匝道-主线
29,共XN001,共XN034,340,30,匝道,匝道
30,ZN0913,共XN001,0,30,匝道,主线-匝道
31,军BN022,军BN001,220,30,匝道,匝道
32,军BN001,ZN1233,0,30,匝道,匝道-主线
33,军MZ034,军MZ001,340,30,匝道,匝道
34,军MZ001,ZW1213;ZW1213,0,30,匝道,匝道-主线
35,军XB023,军XB001,230,30,匝道,匝道
36,军XB001,军ZX024,0,30,匝道,匝道-主线
37,军XZ001,军XZ035,350,30,匝道,匝道
38,军MZ013,军XZ001,0,30,匝道,主线-匝道
39,军ZM001,军ZM031,310,30,匝道,匝道
40,ZW1228,军ZM001,0,30,匝道,主线-匝道
41,军ZX001,军ZX038,380,30,匝道,匝道
42,ZN1213;ZN1213,军ZX001,0,30,匝道,主线-匝道
43,原WX001,原WX011,110,30,匝道,匝道
44,ZW0889,原WX001,0,30,匝道,主线-匝道
45,古NS006,古NS001,60,30,匝道,匝道
46,古NS001,ZN0759,0,30,匝道,匝道-主线
47,古NX001,古NX006,60,30,匝道,匝道
48,ZN0719,古NX001,0,30,匝道,主线-匝道
49,吴中路内圈出口00,吴中路内圈出口02,30,30,匝道,匝道
50,ZN0272,吴中路内圈出口00,0,30,匝道,主线-匝道
51,吴中路内圈进口02,吴中路内圈进口00,30,30,匝道,匝道
52,吴中路内圈进口00,ZN0315,0,30,匝道,匝道-主线
53,吴中路外圈出口00,吴中路外圈出口02,30,30,匝道,匝道
54,ZW0316,吴中路外圈出口00,0,30,匝道,主线-匝道
55,吴中路外圈进口03,吴中路外圈进口00,40,30,匝道,匝道
56,吴中路外圈进口00,ZW0274,0,30,匝道,匝道-主线
57,周NX001,周NX012,120,30,匝道,匝道
58,ZN1280,周NX001,0,30,匝道,主线-匝道
60,ZW1154,国和路出口00,0,30,匝道,主线-匝道
61,国WS020,国WS001,200,30,匝道,匝道
62,国WS001,ZW1145,0,30,匝道,匝道-主线
63,国NX001,国NX012,120,30,匝道,匝道
64,ZN1093,国NX001,0,30,匝道,主线-匝道
65,国定路进口00,国定路进口02,30,30,匝道,匝道
67,大BD001,大BD006,60,30,匝道,匝道
68,大XD006;大XD003,大BD001,0,30,匝道,主线-匝道
69,大BX013,大BX001,130,30,匝道,匝道
70,大BX001,ZW1033,0,30,匝道,匝道-主线
